Species	BM	Rmax	M	Sp1	Sp2	Sp3	Sp4	Sp5	Sp6	Sp7	Sp8	Sp9	Sp10	Sp11	Sp12	Sp13	Sp14	Sp15	Sp16	Sp17	Sp18	Sp19	Sp20	Sp21	Sp22	Sp23	Sp24	Sp25	Sp26	Sp27	Sp28	Sp29	Sp30	Sp31	Sp32	Sp33	Sp34	Sp35	Sp36	Sp37	Sp38	Sp39	Sp40	Sp41	Sp42	Sp43	Sp44	Sp45	Sp46	Sp47	Sp48	Sp49	Sp50	Sp51	Sp52	Sp53	Sp54	Sp55	Sp56	Sp57	Sp58	Sp59	Sp60	Sp61	Sp62	Sp63	Sp64	Sp65	Sp66	Sp67	Sp68	Sp69	Sp70	Sp71	Sp72	Sp73	Sp74	Sp75	Sp76	Sp77	Sp78	Sp79	Sp80	Sp81	Sp82	Sp83	Sp84	Sp85	Sp86	Sp87	Sp88	Sp89	Sp90	Sp91
Impala	52.5	0.306	0.0563	0.011643786	0.013608446	0.329189887	0	0	0.04554435	0.035203064	0.011780227	0.002281414	0.074111082	0.015743617	0.044404708	0.002878155	0.014194892	0.010156903	0.003271806	0	0.071832081	0	0.145301386	0	0	0.002045675	0.013047421	0.007209857	0.001921625	0.005470021	0	0.006059657	0.000801411	0	0	0.013099575	0	0	0	0.003810465	0.037095451	0	0	0	0.028448848	0	0.008284746	0	0	0	0	0	0	0	0	0	0.013322019	0	0	0	0	0.001518144	0.002127492	0	0.002993888	0	0.001800204	0	0.002853227	0.004910722	0	0.01098132	0	0	0	0	0	0	0	0	0	0	0	0.001052428	0	0	0	0	0	0	0	0	0	0
Hartebeest	160.9	0.289	0.0500	0.144213055	0	0.005206405	0	0	0	0	0.032399665	0.000994473	0.04809122	0.025784366	0.020521934	0.006645704	0.002941506	0	0.027117537	0	0.308960524	0	0.024398499	0	0.004120742	0	0.225011234	0	0.042934255	0.042540449	0	0.003726969	0.000833743	0.003399963	0.010230732	0	0.008000433	0	0	0	0	0	0.001883382	0	0	0.000795357	0.005843891	0	0	0	0	0	0	0	0	0	0	0	0.001167572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000756195	0.001480196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wildebeest	180.0	0.307	0.0465	0.086158081	0	0	0	0.007171382	0	0.027989492	0.163001502	0.00178356	0.03990361	0.015048843	0.012103722	0.001903169	0.002513132	0	0.013105795	0.001252573	0.318593947	0	0.1846279	0	0.001506484	0	0.033184368	0.001108507	0.001292212	0.037485803	0	0.008276527	0.001734982	0	0.002726759	0.007236155	0.001389252	0	0	0	0	0	0.005162243	0	0	0.005308716	0.003433593	0	0	0	0	0	0.00075383	0	0	0	0	0	0	0	0	0	0	0	0	0.000786562	0	0	0	0	0	0.005749617	0	0	0	0	0	0.000732254	0	0.002581947	0	0	0.001078384	0	0	0	0	0	0.002529556	0.00078554	0	0	0	0
Topi	136.0	0.278	0.0556	0.132915083	0	0	0	0	0	0.016278908	0.097999938	0	0.039479383	0.011209342	0.041065547	0.003509648	0	0	0.002227261	0.001149236	0.196601266	0	0.049714249	0	0.001355516	0	0.112638669	0.001227897	0.117238372	0.086154085	0	0.017187176	0	0.00179251	0.027410405	0.005800597	0	0	0	0	0	0	0.006455641	0	0	0.007382105	0.012502601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001674517	0	0	0	0.001966484	0	0.006089374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00097419
Plains_zebra	282.5	0.148	0.0417	0.290869115	0	0.000862981	0	0.000957449	0	0.003911792	0.062486823	0	0.076146388	0.012405544	0	0	0.001657506	0	0.012811742	0.006973632	0.209840369	0	0.032330734	0	0.005950473	0	0.075880962	0	0.029267161	0.080546052	0	0.006348969	0	0	0.035596972	0.006160088	0.002707864	0.000553547	0	0	0	0	0.013781276	0.000570437	0	0.00665583	0	0	0	0	0	0	0	0	0.0100485	0	0	0	0	0	0	0	0	0	0	0	0	0.002826488	0	0	0.001421113	0	0	0.001224021	0	0.001305648	0.005355488	0.000551485	0	0.001371175	0	0	0	0	0	0	0	0	0	0	0	0.000622375	0	0
Thomsons _gazelle	22.9	0.539	0.0659	0.005801486	0	0	0	0	0	0	0.013146074	0.049347506	0.010672972	0.651501404	0	0.005286013	0.0559546	0	0	0	0.095131589	0	0	0.012679678	0	0	0.01931471	0.008107085	0.008415289	0.003557409	0.00995414	0.003803357	0	0	0	0.007253063	0	0	0	0	0	0	0	0	0	0	0	0.003760612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007000502	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025211229	0	0	0	0	0	0	0	0	0	0	0.004101281	0	0
Grants_gazelle	55.5	0.455	0.0789	0.000645331	0.006093393	0.091151734	0.007582661	0	0.005945084	0.041051271	0.013965626	0.00721938	0.012506395	0.218478085	0.005710974	0.288817611	0.084240119	0.001162245	0	0.000667418	0.039194534	0.00112528	0.028107167	0	0	0.007139625	0.018934442	0.007325669	0.005426467	0	0.008845108	0	0.017015666	0	0	0.002893748	0	0	0	0	0	0	0	0.000691426	0	0	0.001227492	0	0.011897828	0.000532613	0.004932527	0.003040654	0	0.001225927	0	0.000728599	0	0	0	0.000590392	0.003685805	0	0	0.01261034	0.000574083	0	0.010669306	0	0	0.003675371	0	0	0.001658962	0	0.000558106	0	0	0	0.000625923	0	0.001040934	0.007050058	0.002759623	0	0.0046405	0.000941428	0.000868629	0.001576487	0	0	0	0	0.000951959	0
Buffalo	580.0	0.168	0.0339	0.009449847	0.015339842	0.003130406	0	0	0.002838307	0.118057473	0.050985343	0.009290473	0.125951827	0.044761558	0.006537918	0.086679135	0.024182696	0	0.002696748	0	0.080445525	0	0.115767787	0.022935124	0.001591809	0.001789639	0.019829819	0.025013808	0.039966912	0.020697064	0	0.036966487	0.001835376	0	0.002689204	0.026139774	0.003336261	0	0.000931881	0.001697152	0.001998174	0.006671982	0.008176554	0.00127252	0.000825582	0.023592092	0.001190539	0.000772055	0.001175995	0	0	0	0	0	0	0	0.004509804	0.002930115	0.023716903	0	0	0	0	0	0	0	0.012260944	0.001101981	0	0.003752425	0	0.000929829	0	0	0	0	0	0.000801881	0	0	0	0	0	0	0	0	0	0	0	0	0.002785434	0	0	0
