"Impala"	"Hartebeest"	"Wildebeest"	"Sable"	"Waterbuck"	"Oribi"	"Reedbuck"	"Buffalo"	"Nyala"	"Bushbuck"	"Kudu"
13.0909090909091	22.0909090909091	40.0909090909091	31.0909090909091	31.0909090909091	27.0909090909091	22.0909090909091	20.0909090909091	39.0909090909091	55.0909090909091	33.0909090909091
22.0909090909091	44.0909090909091	54.0909090909091	54.0909090909091	50.0909090909091	49.0909090909091	36.0909090909091	48.0909090909091	57.0909090909091	83.0909090909091	60.0909090909091
17	41	57	60	65	56	26	50	63	79	72
21	64	44	66	58	51	20	55	77	86	72
15	58	35	69	63	47	23	64	90	94	73
19	65	21	69	72	57	19	61	87	94	78
13	75	22	75	70	62	18	67	88	95	81
8.09090909090909	72.0909090909091	20.0909090909091	83.0909090909091	70.0909090909091	61.0909090909091	9.09090909090909	71.0909090909091	94.0909090909091	96.0909090909091	87.0909090909091
3	82	16	87	68	60	2	83	100	98	92
8	84	9	93	77	57	4	83	99	99	92
2	85	11	95	84	51	6	92	100	100	97
1	92	7	95	87	65	2	93	100	100	100
1	97	1	100	86	71	1	98	100	100	99
0	100	0	100	98	90	0	99	100	100	99
