""	"Impala"	"Hartebeest"	"Wildebeest"	"Topi"	"Plains_zebra"	"Thomsons _gazelle"	"Grants_gazelle"	"Buffalo"
"Impala"	0.000317383573497583	0.000190386307785161	0.000319692076834251	0.000141527040811864	0.00024681221568512	2.18510104944052e-05	0.000101848436410605	0.00055612475971492
"Hartebeest"	6.21210761884459e-05	0.000686431783764416	0.000562613507932669	0.000416201929423997	0.000816134856692133	4.5972842557038e-05	4.59820858160365e-05	0.00048094982372919
"Wildebeest"	9.32435224099899e-05	0.000502913963479814	0.000723840806696085	0.000364257171912395	0.000686263165497644	3.73839768138692e-05	4.4198827851081e-05	0.000688028836009586
"Topi"	5.46336003134034e-05	0.000492403606208244	0.000482105080472288	0.000380713989108149	0.000692080548380696	2.88859396086963e-05	3.24382510032195e-05	0.000494807303859817
"Plains_zebra"	4.58677568972347e-05	0.000464835746696511	0.000437265025803809	0.000333178600282388	0.00081436683008648	2.55092797976734e-05	2.38474253532417e-05	0.000388232262949556
"Thomsons _gazelle"	5.00951113954705e-05	0.000323014426525215	0.000293847852685435	0.000171549685012345	0.000314688713661255	0.000597961603655158	0.000411964644454954	0.000699950266330681
"Grants_gazelle"	9.63431155235454e-05	0.000133306623563969	0.00014334754978729	7.9488326782664e-05	0.000121385543464699	0.000169981808252584	0.000333681371440145	0.000692167324297112
"Buffalo"	5.03388791121264e-05	0.000133422114893149	0.000213526190485734	0.000116023781594716	0.000189095886695258	2.76359674120217e-05	6.62332525836029e-05	0.000543229315719526
